Unnamed: 0,studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
302,910,302,0,0.731578947368421,1,4,1,111509,0.5563636363636362,0.1785714285714286,0.6779661016949157,0.5625,1,0.5994255984889323,0.2398270434898339,0.456140350877193,2
39,708,39,0,1.0,1,3,0,111307,0.2799999999999998,0.7142857142857144,0.2033898305084749,0.5416666666666667,0,0.0,0.0,1.0,0
339,910,339,0,0.731578947368421,1,3,0,12109,0.3272727272727274,0.4642857142857144,0.3050847457627119,0.3055555555555556,0,0.0,0.0,0.456140350877193,2
335,910,335,0,0.731578947368421,1,4,1,112509,0.8363636363636362,0.3452380952380953,0.9830508474576272,0.875,0,0.089699805551713,0.2590416822713397,0.456140350877193,2
155,708,155,0,1.0,1,3,1,112607,0.4836363636363636,0.6666666666666665,0.2711864406779662,0.2291666666666666,1,0.2016844500197945,0.740162866348693,0.456140350877193,1
198,910,198,0,1.0,1,2,1,112709,0.6545454545454545,0.5714285714285712,0.3050847457627119,0.1944444444444444,1,0.364886661928679,0.792767892239552,0.456140350877193,1
293,809,293,0,0.731578947368421,1,2,1,11908,0.5236363636363637,0.2023809523809525,0.7627118644067798,0.6944444444444444,1,0.1893346784130603,0.1317416052023148,0.456140350877193,2
102,910,102,0,0.731578947368421,1,2,1,111509,0.2036363636363636,0.3452380952380953,0.1864406779661021,0.1041666666666666,1,0.3145872783440573,0.2455190088118684,0.0,0
402,910,402,0,1.0,1,4,1,112709,0.6212135440655275,0.5441479899345838,0.3147947832436233,0.1944444444444444,1,0.2598937291619962,0.8081445554912445,0.456140350877193,1
30,708,30,0,1.0,1,4,1,11907,0.269090909090909,0.4285714285714286,0.1016949152542374,0.1527777777777778,1,0.4104719067538582,0.5900299300188498,0.456140350877193,0
73,809,73,0,0.0,1,4,1,111108,0.498181818181818,0.6904761904761902,0.4237288135593222,0.4027777777777777,0,0.1101780879198801,0.1729441295997684,0.456140350877193,0
167,708,167,0,1.0,1,3,1,112207,0.669090909090909,0.7738095238095242,0.4915254237288136,0.375,1,0.4320035169224065,0.7085212342186473,0.456140350877193,1
142,910,142,0,1.0,1,2,1,111609,0.0,0.2857142857142858,0.2711864406779662,0.0972222222222222,1,0.2316665315227224,0.1262167775243217,0.456140350877193,0
374,809,374,0,1.0,1,11,1,111709,0.6769955252699764,0.8487743904530474,0.658560712486731,0.5239526363390903,0,0.3218751142761293,0.8241711984697622,0.456140350877193,1
359,910,359,0,1.0,1,2,1,112309,0.583879341887122,0.4599115755706795,0.3273946809147205,0.2661867918392544,1,0.3357710915973855,0.8355087019904852,0.456140350877193,1
55,809,55,0,0.731578947368421,1,3,1,11908,0.3381818181818181,0.6547619047619051,0.3220338983050848,0.2777777777777777,0,0.1434433723024872,0.229043570307688,0.456140350877193,0
405,910,405,0,1.0,1,4,1,112807,0.5372464406194399,0.4166666666666669,0.3383938872431193,0.000386229473955,1,0.3422242149329288,0.62109896096098,0.456140350877193,1
229,708,229,0,0.731578947368421,1,4,1,112707,0.5345454545454544,0.2738095238095239,0.7288135593220342,0.6805555555555556,0,0.1055116470230967,0.507098707159372,0.456140350877193,2
394,910,394,0,1.0,1,5,1,112709,0.5206784365777675,0.6392143998547355,0.3114091545385098,0.2109245841511949,1,0.364886661928679,0.792767892239552,0.456140350877193,1
83,809,83,0,0.0,1,2,1,11708,0.1090909090909091,0.75,0.3559322033898309,0.4166666666666667,0,0.7826078488422934,0.1720898705302289,0.456140350877193,0
78,809,78,0,1.0,1,2,1,11908,0.1490909090909091,0.3571428571428574,0.2542372881355934,0.2361111111111111,1,0.0380807811001988,0.1562179846295279,0.456140350877193,0
133,910,133,0,1.0,1,2,1,111009,0.1963636363636363,0.6428571428571428,0.4576271186440679,0.4930555555555556,0,0.1857990743434787,0.1626992110484177,0.456140350877193,0
250,708,250,0,0.731578947368421,1,2,1,112907,0.5527272727272725,0.2619047619047621,0.8474576271186445,0.7083333333333333,0,0.0,0.0,0.456140350877193,2
118,910,118,0,0.0,1,3,1,112209,0.130909090909091,0.4642857142857144,0.2881355932203391,0.1805555555555555,1,0.2647549363313028,0.9642758761571965,0.0,0
206,910,206,0,1.0,1,1,1,112709,0.3781818181818182,0.5,0.2542372881355934,0.1805555555555555,1,0.3841943592507622,0.745842451104501,0.456140350877193,1
220,708,220,0,0.731578947368421,1,2,1,112707,0.509090909090909,0.0119047619047618,0.6610169491525424,0.5,1,0.0717057868636907,0.465707379126985,0.456140350877193,2
80,809,80,0,0.0,1,3,1,11208,0.0909090909090908,0.4880952380952381,0.2881355932203391,0.1388888888888888,1,0.01303344097151,0.1485172724374557,0.456140350877193,0
446,910,446,0,0.731578947368421,1,3,1,112907,0.5827580948270534,0.1475091959720627,0.5564014002549196,0.5326068488251849,1,0.0287220629643585,0.467499466088082,0.456140350877193,2
9,708,9,0,1.0,1,2,1,11907,0.3599999999999999,0.8452380952380953,0.3050847457627119,0.4305555555555556,0,0.2983938539714037,0.5957714176057847,0.4385964912280701,0
343,910,343,0,0.731578947368421,1,3,1,112209,0.6472727272727272,0.3571428571428574,0.6949152542372885,0.75,0,0.1454188587809379,0.2671819045644064,0.456140350877193,2
383,708,383,0,1.0,1,3,1,111408,0.7281986875545496,0.8025045586075668,0.4306844563226377,0.2818723408122525,1,0.2162640967058267,0.7547812199190931,0.456140350877193,1
247,708,247,0,1.0,1,4,1,112907,0.5709090909090908,0.2261904761904762,0.7288135593220342,0.8194444444444444,0,0.0579091800896403,0.4750144697867755,0.456140350877193,2
421,708,421,0,1.0,1,4,0,112109,0.5645609374457776,0.5934333921877939,0.399382448294868,0.3055555555555556,0,0.4198842849851898,0.6336373794055472,0.456140350877193,1
114,910,114,0,0.731578947368421,1,4,1,111709,0.2727272727272727,0.9047619047619048,0.3220338983050848,0.3333333333333332,1,0.234011676436779,0.0708663610730244,0.0,0
450,809,450,0,0.731578947368421,1,3,1,11308,0.4695346844903445,0.2607339986475834,0.7866695414748799,0.6527777777777777,0,0.0679456053574238,0.0834573969240501,0.456140350877193,2
77,809,77,0,0.0,1,2,1,11608,0.1854545454545455,0.75,0.2033898305084749,0.3333333333333332,0,0.1437295594784395,0.1766304431933196,0.456140350877193,0
280,809,280,0,0.731578947368421,1,4,1,11308,0.4799999999999997,0.0833333333333334,0.6101694915254239,0.4166666666666667,1,0.2023084970562469,0.0705723226251766,0.456140350877193,2
320,910,320,0,0.731578947368421,1,4,1,112209,0.5963636363636362,0.2261904761904762,0.7966101694915255,0.5972222222222223,1,0.093430175893818,0.2571784070544467,0.456140350877193,2
125,910,125,0,0.0,1,4,1,111809,0.3090909090909091,0.7023809523809526,0.4576271186440679,0.3611111111111111,0,0.3166283493836641,0.436501623401746,0.456140350877193,0
79,809,79,0,1.0,1,3,1,11908,0.3636363636363637,0.7142857142857144,0.3898305084745765,0.3611111111111111,0,0.2832378581115777,0.3724724300265878,0.456140350877193,0
286,809,286,0,0.731578947368421,1,3,1,11908,0.5127272727272727,0.1547619047619048,0.7118644067796613,0.5416666666666667,0,0.1212976521522071,0.0628747055746608,0.456140350877193,2
91,809,91,0,1.0,1,1,1,111408,0.3272727272727274,0.5952380952380953,0.5593220338983054,0.4444444444444444,0,0.2261633906184663,0.3667804647045534,0.456140350877193,0
305,910,305,0,0.731578947368421,1,1,1,112209,0.6799999999999999,0.5,0.9491525423728816,0.8055555555555556,0,0.1276076818997737,0.2223394936967437,0.456140350877193,2
74,809,74,0,0.0,1,4,1,11808,0.1236363636363635,0.5238095238095237,0.3050847457627119,0.2777777777777777,1,0.2134916584387853,0.2688161393061321,0.456140350877193,0
424,708,424,0,1.0,1,5,0,112408,0.6220325036764907,0.6082910099552263,0.4405871517549538,0.1701202845609106,1,0.3447124534349617,0.750222076406664,0.456140350877193,1
76,809,76,0,1.0,1,2,1,11608,0.3199999999999998,0.4404761904761907,0.3220338983050848,0.2777777777777777,0,0.1670160535106419,0.3090560746795763,0.456140350877193,0
