,studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
0,PAL0708,0,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,11/11/07,39.1,18.7,181.0,3750.0,,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
1,PAL0708,1,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,11/11/07,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
2,PAL0708,2,Anvers,,"Adult, 1 Egg Stage",N2A1,Yes,11/16/07,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
3,PAL0708,3,Anvers,,"Adult, 1 Egg Stage",,Yes,11/16/07,41.1,17.0,190.0,3800.0,,7.6322,-27.01854,,Adelie Penguin (Pygoscelis adeliae)
4,PAL0708,4,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,11/16/07,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
5,PAL0708,5,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,11/16/07,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805,,Adelie Penguin (Pygoscelis adeliae)
6,PAL0708,6,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,11/15/07,38.9,17.8,181.0,3625.0,,9.18718,-25.21799,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
7,PAL0708,7,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,11/15/07,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
8,PAL0708,8,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A1,Yes,11/9/07,34.1,18.1,193.0,3475.0,MALE,7.6322,-27.01854,No blood sample obtained.,Adelie Penguin (Pygoscelis adeliae)
9,PAL0708,9,Anvers,,"Adult, 1 Egg Stage",N5A2,Yes,11/9/07,42.0,20.2,190.0,4250.0,MALE,9.13362,-25.09368,No blood sample obtained for sexing.,Adelie Penguin (Pygoscelis adeliae)
10,PAL0708,10,Anvers,Torgersen,"Adult, 1 Egg Stage",,Yes,11/9/07,37.8,17.1,186.0,3300.0,MALE,8.63243,-25.21315,No blood sample obtained for sexing.,Adelie Penguin (Pygoscelis adeliae)
11,PAL0708,11,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,11/9/07,37.8,17.3,180.0,3700.0,,7.6322,-27.01854,No blood sample obtained.,Adelie Penguin (Pygoscelis adeliae)
12,PAL0708,12,Anvers,Torgersen,"Adult, 1 Egg Stage",,Yes,11/15/07,41.1,17.6,182.0,3200.0,,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
13,PAL0708,13,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,11/15/07,38.6,21.2,191.0,3800.0,,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
14,PAL0708,14,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,11/16/07,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
15,PAL0708,15,Anvers,,"Adult, 1 Egg Stage",N8A2,Yes,11/16/07,36.6,17.8,185.0,3700.0,FEMALE,7.6322,-27.01854,Not enough blood for isotopes.,Adelie Penguin (Pygoscelis adeliae)
16,PAL0708,16,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,11/12/07,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
17,PAL0708,17,Anvers,,"Adult, 1 Egg Stage",N9A2,Yes,11/12/07,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
18,PAL0708,18,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,11/16/07,34.4,18.4,184.0,3325.0,FEMALE,11.021751,-25.23319,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
19,PAL0708,19,Anvers,,"Adult, 1 Egg Stage",,Yes,11/16/07,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
20,PAL0708,20,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,11/12/07,37.8,18.3,174.0,3400.0,FEMALE,11.358906,-25.09383,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
21,PAL0708,21,Anvers,,"Adult, 1 Egg Stage",N11A2,Yes,11/12/07,37.7,18.7,180.0,3600.0,,8.66271,-25.0639,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
22,PAL0708,22,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,11/12/07,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
23,PAL0708,23,Anvers,,"Adult, 1 Egg Stage",N12A2,Yes,11/12/07,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
24,PAL0708,24,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,11/10/07,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
25,PAL0708,25,Anvers,,"Adult, 1 Egg Stage",N13A2,Yes,11/10/07,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
26,PAL0708,26,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,11/12/07,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
27,PAL0708,27,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,11/12/07,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
28,PAL0708,28,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,11/10/07,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
29,PAL0708,29,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,11/10/07,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
30,PAL0708,30,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,11/9/07,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
31,PAL0708,31,Anvers,,"Adult, 1 Egg Stage",N21A2,Yes,11/9/07,37.2,18.1,178.0,3900.0,MALE,12.645932,-25.0102,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
32,PAL0708,32,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,11/9/07,39.5,17.8,188.0,3300.0,FEMALE,9.66523,-25.0602,Nest never observed with full clutch.,Adelie Penguin (Pygoscelis adeliae)
